time,temperature_2m,wind_speed_10m,surface_pressure,wind_speed_90m,pressure_90m
2025-05-28 10:00:00,21.56,5.88,95.41,8.685472977751614,94.41975850360294
2025-05-28 11:00:00,22.44,5.75,95.34,8.493447214638058,94.35341560646421
2025-05-28 12:00:00,23.16,5.38,95.27,7.946912350391783,94.28652309259873
2025-05-28 13:00:00,23.69,5.08,95.22,7.503775973975885,94.23878522170104
2025-05-28 14:00:00,23.87,4.93,95.18,7.282207785767935,94.19978872480429
2025-05-28 15:00:00,23.7,4.76,95.16,7.031097172465593,94.17943636710388
2025-05-28 16:00:00,22.94,4.6,95.16,6.794757771710446,94.17693251457291
2025-05-28 17:00:00,19.9,4.34,95.19,6.410706245483334,94.1964747966384
2025-05-28 18:00:00,18.02,3.95,95.25,5.834628956142667,94.2494634444453
2025-05-28 19:00:00,17.31,3.35,95.3,4.948356203310869,94.29650416313031
2025-05-28 20:00:00,17.21,3.33,95.33,4.918813778216476,94.32584438166141
2025-05-28 21:00:00,16.56,3.53,95.34,5.214238029160408,94.33349779949248
2025-05-28 22:00:00,15.84,3.49,95.35,5.155153178971622,94.34089764892263
2025-05-28 23:00:00,15.31,3.25,95.36,4.800644077838903,94.34894742058532
2025-05-29 00:00:00,14.94,3.05,95.33,4.50521982689497,94.31797430245979
2025-05-29 01:00:00,14.81,2.96,95.3,4.3722789139702005,94.28783848047267
2025-05-29 02:00:00,14.85,3.2,95.28,4.72678801510292,94.26819069588716
2025-05-29 03:00:00,14.96,3.63,95.27,5.361950154632375,94.25868109852689
2025-05-29 04:00:00,15.19,3.79,95.27,5.59828955538752,94.25948350320212
2025-05-29 05:00:00,15.38,3.74,95.29,5.5244334926515375,94.27993340104335
2025-05-29 06:00:00,15.44,3.73,95.33,5.50966228010434,94.31971837545012
2025-05-29 07:00:00,17.42,4.29,95.37,6.336850182747352,94.36614523364179
2025-05-29 08:00:00,19.41,5.48,95.41,8.09462447586375,94.41251947137062
2025-05-29 09:00:00,20.91,6.25,95.43,9.23200784199789,94.43737303189738
2025-05-29 10:00:00,21.2,6.17,95.43,9.113838141620317,94.43834589061171
2025-05-29 11:00:00,21.46,5.38,95.41,7.946912350391783,94.41942413507469
2025-05-29 12:00:00,21.9,4.42,95.36,6.528875945860908,94.37141201528499
2025-05-29 13:00:00,22.67,3.55,95.3,5.243780454254801,94.31459229854053
2025-05-29 14:00:00,23.38,3.3,95.23,4.874500140574885,94.2476615895207
2025-05-29 15:00:00,23.38,3.54,95.19,5.229009241707605,94.20807420672556
2025-05-29 16:00:00,22.38,3.84,95.2,5.672145618123503,94.21466536678399
2025-05-29 17:00:00,19.42,3.78,95.23,5.583518342840324,94.23443516376368
2025-05-29 18:00:00,17.4,3.4,95.29,5.022212266046852,94.28691862770225
2025-05-29 19:00:00,17.01,2.89,95.35,4.268880426139824,94.34494508928364
2025-05-29 20:00:00,16.63,3.1,95.39,4.579075889630953,94.3832119231154
2025-05-29 21:00:00,16.01,3.16,95.41,4.667703164914133,94.40085314448588
2025-05-29 22:00:00,15.75,2.93,95.41,4.327965276328611,94.39994977157147
2025-05-29 23:00:00,15.62,3.07,95.41,4.534762251989363,94.39949747833414
2025-05-30 00:00:00,15.54,3.23,95.4,4.77110165274451,94.38932488343333
2025-05-30 01:00:00,15.48,3.16,95.38,4.667703164914133,94.36932782817168
2025-05-30 02:00:00,15.34,3.16,95.35,4.667703164914133,94.33915801423211
2025-05-30 03:00:00,15.15,3.24,95.31,4.785872865291706,94.29891971269107
2025-05-30 04:00:00,15.0,3.36,95.29,4.963127415858065,94.27860846215832
2025-05-30 05:00:00,15.01,3.35,95.29,4.948356203310869,94.27864337350152
2025-05-30 06:00:00,15.33,3.29,95.32,4.859728928027689,94.30944121284934
2025-05-30 07:00:00,17.98,3.89,95.37,5.746001680859487,94.3680660089396
2025-05-30 08:00:00,20.15,5.18,95.42,7.6514880994478505,94.42491867602001
2025-05-30 09:00:00,21.36,5.65,95.44,8.345735089166093,94.44877796626116
2025-05-30 10:00:00,21.92,5.42,95.42,8.00599720058057,94.43085670147768
2025-05-30 11:00:00,22.36,5.02,95.38,7.415148698692705,94.39273587295435
2025-05-30 12:00:00,22.71,4.65,95.3,6.868613834446431,94.31472483367907
2025-05-30 13:00:00,23.01,4.3,95.23,6.351621395294548,94.2464406895326
2025-05-30 14:00:00,23.07,4.08,95.18,6.026654719256222,94.19715518790755
2025-05-30 15:00:00,22.65,3.94,95.16,5.8198577435954695,94.17597372334484
2025-05-30 16:00:00,21.64,3.9,95.18,5.760772893406683,94.19241231595367
